"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
JM_Aulas,"ID 919143223691444224","Sat Oct 14 10:09:56 +0000 2017","RT @OL_HISTOIRE: Ces 7 Champions cumulent 1837 matchs avec l'OL. Monuments. #OLasm https://t.co/hhuWm6ragj",https://twitter.com/JM_Aulas/statuses/919143223691444224,23,0,"Twitter for iPhone" 
JM_Aulas,"ID 918885826490261504","Fri Oct 13 17:07:07 +0000 2017","RT @PrinceduParc: En tout cas, on sait ce que pense Vadim Vasilyev du club de @JM_Aulas ! 😂#OLASM https://t.co/gzVKRu8J9w",https://twitter.com/JM_Aulas/statuses/918885826490261504,289,0,"Twitter for iPhone" 
JM_Aulas,"ID 918885739282169856","Fri Oct 13 17:06:46 +0000 2017","@OL_Plus @OL Qui Le dit ? Le Parisien d'A Faure qui ferait mieux de s'occuper de son équipe plutôt que d'essayer de semer le trouble en daubant 👎👎",https://twitter.com/JM_Aulas/statuses/918885739282169856,23,135,"Twitter for iPhone" 
JM_Aulas,"ID 918876724481462277","Fri Oct 13 16:30:57 +0000 2017","RT @OL: Bienvenue à Monsieur Peter Kim, directeur général de @HyundaiEurope !  #OLASM https://t.co/ylJBrILl7K",https://twitter.com/JM_Aulas/statuses/918876724481462277,32,0,"Twitter for iPhone" 
JM_Aulas,"ID 918830846362161152","Fri Oct 13 13:28:39 +0000 2017","@GroupeAPRIL @OL Magnifiques ambassadrices du foot féminin et de la mixité 👌👋",https://twitter.com/JM_Aulas/statuses/918830846362161152,1,36,"Twitter for iPhone" 
JM_Aulas,"ID 918830490945249285","Fri Oct 13 13:27:14 +0000 2017","RT @GroupeAPRIL: Découvrez dans notre nouveau spot les héroïnes de l’@OL féminin comme vous ne les avez jamais vues !  https://t.co/MYTUi9m…",https://twitter.com/JM_Aulas/statuses/918830490945249285,19,0,"Twitter for iPhone" 
JM_Aulas,"ID 918770333666234368","Fri Oct 13 09:28:12 +0000 2017","RT @fadouce: 20 ooo employes chez @Schneider qui se transforme : num et énergétique Réduire de 10% la conso énergétique  🔝 @Cheydema 😉#BPIi…",https://twitter.com/JM_Aulas/statuses/918770333666234368,7,0,"Twitter for iPhone" 
JM_Aulas,"ID 918748189179744256","Fri Oct 13 08:00:12 +0000 2017","@OL_Plus @OL Quand le Parisien se met à dauber pour tenter d me discréditer ' avec mes supporters ' c qu'ils sont pas bien sur d'autres sujets A Faure 👎",https://twitter.com/JM_Aulas/statuses/918748189179744256,42,214,"Twitter for iPhone" 
JM_Aulas,"ID 918483732868272128","Thu Oct 12 14:29:21 +0000 2017","RT @JM_Aulas: Formidable soirée au Groupama Stadium avec 1 match de haut niveau de WCLeague gagné 9/0 par OL féminin merci Groupama https:/…",https://twitter.com/JM_Aulas/statuses/918483732868272128,40,0,"Twitter for iPhone" 
JM_Aulas,"ID 918464674668085251","Thu Oct 12 13:13:37 +0000 2017","RT @OLFootFeminin: [CDM] Lancement de la #CDM2019 à Lyon, @villedelyon hôte des 1/2F & Finale https://t.co/P0sIzZa6kQ",https://twitter.com/JM_Aulas/statuses/918464674668085251,24,0,"Twitter for iPhone" 
